UID          PID    PPID  C STIME TTY          TIME CMD
devasc     12075    1429  0 14:57 ?        00:00:00 [sh] <defunct>
devasc     12077    1429  0 14:57 ?        00:00:00 [sh] <defunct>
devasc     12119    1429  0 14:57 ?        00:00:00 [sh] <defunct>
root       12236       2  0 15:06 ?        00:00:00 [kworker/u4:0-events_power_efficient]
root       12247       2  0 15:11 ?        00:00:00 [kworker/u4:1-events_power_efficient]
devasc     12255    1429  0 15:13 ?        00:00:00 [sh] <defunct>
devasc     12257    1429  0 15:13 ?        00:00:00 [sh] <defunct>
devasc     12295    1429  0 15:13 ?        00:00:00 [sh] <defunct>
devasc     12369    1429  0 15:15 ?        00:00:00 [sh] <defunct>
devasc     12371    1429  0 15:15 ?        00:00:00 [sh] <defunct>
devasc     12413    1429  0 15:15 ?        00:00:00 [sh] <defunct>
root       12468       2  0 15:16 ?        00:00:00 [kworker/u4:2-events_unbound]
devasc     12472   10514  0 15:17 pts/2    00:00:00 ps -ef
